img_name,text_descriptions,,,,,,,,,,,,,self_label
image_1.jpg,"a photo of a toy story with the capt that says, look there my friend now a soakt",,,,,,,,,,,,,anger/fear
image_10.png,a photo of two people in front of a blackboard with the words facebook,,,,,,,,,,,,,fear
image_100.jpg,a photo of yo yoo with the capt that says drink water you may not,,,,,,,,,,,,,sadness
image_1000.png,a photo of two men sitting at a table,,,,,,,,,,,,,joy
image_1001.png,a photo of a man in a police uniform,,,,,,,,,,,,,surprise
image_1002.png,a photo of a man sitting on a couch,,,,,,,,,,,,,anger
image_1003.png,a photo of a man in a suit pointing at the camera,,,,,,,,,,,,,joy
image_1004.png,a photo of a man in a suit holding a microphone,,,,,,,,,,,,,joy
image_1005.jpg,a photo of a man in a suit holding an award,,,,,,,,,,,,,joy
image_1006.png,"a photo of two people, one is laughing and the other is crying",,,,,,,,,,,,,surprise
image_1007.jpg,a photo of a man in a suit and tie,,,,,,,,,,,,,anger
image_1008.png,a photo of a man in a suit and tie,,,,,,,,,,,,,fear
image_1009.png,a photo of a man in a suit holding a trophy,,,,,,,,,,,,,joy
image_101.jpg,a photo of a baby sitting on the ground,,,,,,,,,,,,,joy
image_1010.png,"a photo of a man in a suit and tie, with the capt that reads i wish someone would look",,,,,,,,,,,,,sadness
image_1011.png,a photo of a young man with blonde hair,,,,,,,,,,,,,love
image_1012.png,a photo of a man in a trash can,,,,,,,,,,,,,sadness
image_1013.png,a photo of a young man in a suit and tie,,,,,,,,,,,,,love
image_1014.png,a photo of two boys holding bowling balls,,,,,,,,,,,,,joy
image_1015.png,a photo of two men in suits talking to each other man,,,,,,,,,,,,,love
image_1016.jpg,a photo of two men in suits talking,,,,,,,,,,,,,anger
image_1017.png,"a photo of a woman looking at the camera with text that reads, when you go double text and see",,,,,,,,,,,,,surprise
image_1018.jpg,a photo of a man in a suit holding a wine glass,,,,,,,,,,,,,joy
image_1019.jpg,a photo of a man in a suit holding a glass,,,,,,,,,,,,,joy
image_102.jpg,a photo of a baby dressed as santa claus,,,,,,,,,,,,,anger
image_1020.png,a photo of a man in a suit and bow tie,,,,,,,,,,,,,sadness
image_1021.png,a photo of a crowd of people at a concert,,,,,,,,,,,,,surprise
image_1022.png,a photo of a young man in a suit and tie,,,,,,,,,,,,,love
image_1023.png,a photo of a person and a dog on a bus,,,,,,,,,,,,,love
image_1024.png,"a photo of two men, one with a beard and the other with glasses",,,,,,,,,,,,,surprise
image_1025.jpg,a photo of a man in a white suit holding a microphone,,,,,,,,,,,,,anger
image_1026.jpg,a photo of a man in a suit holding a glass,,,,,,,,,,,,,joy
image_1027.jpg,a photo of a man in a suit sitting on a couch,,,,,,,,,,,,,anger
image_1028.jpeg,a photo of a man with a sword in front of him,,,,,,,,,,,,,joy
image_1029.jpg,a photo of president donald and first lady,,,,,,,,,,,,,surprise
image_103.png,"a photo of the text that reads, ' i ' m '",,,,,,,,,,,,,joy
image_1030.jpg,a photo of two people walking down the street,,,,,,,,,,,,,joy
image_1031.jpg,"a photo of two people sitting at a table, one is yelling at the other person",,,,,,,,,,,,,anger
image_1032.jpg,a photo of a man and woman looking at their phones,,,,,,,,,,,,,surprise
image_1033.jpg,a photo of a man and woman sitting on a couch,,,,,,,,,,,,,anger
image_1034.jpg,a photo of two people standing next to each other people,,,,,,,,,,,,,surprise
image_1035.jpg,"a photo of a neon sign with the words, beard of the enemy",,,,,,,,,,,,,fear
image_1036.jpg,a photo of two people standing next to each other people,,,,,,,,,,,,,surprise
image_1037.png,a photo of two people hugging in the street,,,,,,,,,,,,,joy
image_1038.png,a photo of two people walking down the street,,,,,,,,,,,,,anger
image_1039.jpg,a photo of two people walking down the street,,,,,,,,,,,,,surprise
image_104.png,"a photo of a man in a suit and tie, with the capt that says i ' ll make you",,,,,,,,,,,,,anger/surprise
image_1040.png,a photo of a man and woman walking down the street,,,,,,,,,,,,,anger
image_1041.jpg,a photo of two people walking down the street,,,,,,,,,,,,,love
image_1042.png,a photo of a man in a blue shirt and tie pointing at the camera,,,,,,,,,,,,,joy
image_1043.jpg,a photo of a man and woman lying in bed,,,,,,,,,,,,,anger
image_1044.jpg,a photo of a man and woman holding their baby,,,,,,,,,,,,,anger
image_1045.jpg,a photo of two people standing next to each other people,,,,,,,,,,,,,anger
image_1046.jpg,a photo of two people walking down the street,,,,,,,,,,,,,surprise
image_1047.jpg,a photo of two women dressed as spider and spider,,,,,,,,,,,,,joy
image_1048.jpg,a photo of two women sitting at a table with a laptop and talking to each other women stock photo,,,,,,,,,,,,,surprise
image_1049.png,a photo of two people walking down the street,,,,,,,,,,,,,surprise
image_105.png,a photo of a baby in a suit and top hat holding a baseball bat,,,,,,,,,,,,,joy/surprise
image_1050.png,"a photo of a man with glasses and a text that reads, is this improved version of the distracted boyfriend",,,,,,,,,,,,,joy
image_1051.png,"a photo of a man with a beard and the capt that says, ' new boyfriend boyfriend is my boyfriend",,,,,,,,,,,,,joy
image_1052.png,a photo of a man with a beard and glasses,,,,,,,,,,,,,surprise
image_1053.jpg,a photo of two people walking down the street,,,,,,,,,,,,,anger
image_1054.jpg,a photo of people walking down the street,,,,,,,,,,,,,surprise
image_1055.jpg,"a photo of two men, one in black and the other in white",,,,,,,,,,,,,anger/surprise
image_1056.jpg,a photo of a bald bald man pointing at the camera,,,,,,,,,,,,,fear
image_1057.jpg,a photo of a man in a star wars uniform,,,,,,,,,,,,,joy
image_1058.jpg,a photo of a man with a red and white flag on his face,,,,,,,,,,,,,sadness
image_1059.jpg,a photo of a man in a suit hugging another man,,,,,,,,,,,,,anger/fear
image_106.jpg,a photo of a man in a suit and bow tie sitting on a chair,,,,,,,,,,,,,fear
image_1060.jpg,a photo of a person holding a bottle,,,,,,,,,,,,,sadness
image_1061.jpeg,a photo of a man in a suit sitting on a chair,,,,,,,,,,,,,anger
image_1062.jpg,a photo of a man in a suit and tie,,,,,,,,,,,,,anger
image_1063.jpg,a photo of a man with his hands in the air,,,,,,,,,,,,,anger
image_1064.png,a photo of a man in a grey shirt,,,,,,,,,,,,,anger
image_1065.png,a photo of a man in a suit and tie,,,,,,,,,,,,,anger
image_1066.jpg,a photo of a man in a suit smoking a cigarette,,,,,,,,,,,,,anger
image_1067.jpg,a photo of a man in a suit with his hands up,,,,,,,,,,,,,anger
image_1068.jpeg,a photo of a group of people laughing,,,,,,,,,,,,,anger
image_1069.jpg,a photo of a man in a suit sitting at a table,,,,,,,,,,,,,anger
image_107.jpg,a photo of two men in mexican costumes playing guitars,,,,,,,,,,,,,joy
image_1070.jpg,a photo of a young boy in a lab coat,,,,,,,,,,,,,anger
image_1071.jpg,a photo of a man in a white shirt with the words fire the laser,,,,,,,,,,,,,anger
image_1072.jpg,"a photo of a man in a white shirt with the capt that reads, i don ' t go to",,,,,,,,,,,,,anger
image_1073.jpg,"a photo of an image of a man in a white shirt with the capt that reads, i ' ve",,,,,,,,,,,,,anger
image_1074.jpg,"a photo of a man in a white shirt with the capt that says, people say over the earth is",,,,,,,,,,,,,anger
image_1075.jpg,a photo of a man with a cigarette in his mouth,,,,,,,,,,,,,anger
image_1076.jpg,a photo of a man sitting at a table with a laptop,,,,,,,,,,,,,anger
image_1077.jpg,a photo of a man with a cigarette in his mouth,,,,,,,,,,,,,anger
image_1078.jpg,a photo of a man in a suit and tie,,,,,,,,,,,,,anger
image_1079.jpg,a photo of a man in a suit with his hands out,,,,,,,,,,,,,sadness
image_108.jpg,a photo of a group of people sitting around a table,,,,,,,,,,,,,joy
image_1080.jpg,"a photo of a man in a suit and tie, with the capt that reads cash outside how do you",,,,,,,,,,,,,anger
image_1081.jpg,a photo of a man in a suit with his hands up,,,,,,,,,,,,,anger
image_1082.png,a photo of a man with glasses and a hoodie,,,,,,,,,,,,,joy
image_1083.jpg,"a photo of a baby in a car seat with the capt that reads, if you wait to be your",,,,,,,,,,,,,joy
image_1084.jpg,a photo of two dogs that are looking at the camera,,,,,,,,,,,,,love
image_1085.png,"a photo of a group of people with the capt that says, ' evil as dessee '",,,,,,,,,,,,,anger
image_1086.jpg,a photo of a man in a suit sitting at a desk with the capt that says it ' s going,,,,,,,,,,,,,anger
image_1087.jpg,a photo of an old man sitting at a table,,,,,,,,,,,,,anger
image_1088.png,a photo of a group of people laughing,,,,,,,,,,,,,joy
image_1089.jpg,a photo of a man in a suit and tie,,,,,,,,,,,,,
image_109.jpg,a photo of a group of people sitting around a table with text that reads when you are told you have,,,,,,,,,,,,,
image_1090.png,a photo of a man in a suit and some other people,,,,,,,,,,,,,
image_1091.jpg,a photo of a man in a suit and tie,,,,,,,,,,,,,
image_1092.jpg,a photo of a car driving down a dirt road,,,,,,,,,,,,,
image_1093.jpg,a photo of a man in a suit sitting on a chair,,,,,,,,,,,,,
image_1094.jpg,a photo of a man with a gun in his hand,,,,,,,,,,,,,
image_1095.png,"a photo of a man in a white shirt and black pants with the capt that says, ` ` ' the price is right '",,,,,,,,,,,,,
image_1096.png,a photo of a man smoking a cigarette,,,,,,,,,,,,,
image_1097.jpg,a photo of president bill clinton and hillary sanders,,,,,,,,,,,,,
image_1098.png,a photo of a store window with a sign that says it ' s over the lottery,,,,,,,,,,,,,
image_1099.png,a photo of a baby sleeping in a sink,,,,,,,,,,,,,
image_11.jpg,a photo of two men talking to each other men,,,,,,,,,,,,,
image_110.jpg,a photo of a man in a suit leaning against a wall,,,,,,,,,,,,,
image_1100.jpg,a photo of a group of people laughing and talking,,,,,,,,,,,,,
image_1101.jpg,a photo of a man in uniform talking to another man,,,,,,,,,,,,,
image_1102.png,a photo of a person smoking a cigarette with the capt that reads one hundred billion dollars,,,,,,,,,,,,,
image_1103.jpg,"a photo of a man in a suit and tie, with the capt that says i ' m rvel",,,,,,,,,,,,,
image_1104.png,a photo of two men with the words who would win?,,,,,,,,,,,,,
image_1105.png,a photo of a man sitting in a train,,,,,,,,,,,,,
